sha,author,message
a50366222023ca3e8d50c5dfa2cfffbe536f68ea,JoaoFelipe,Version 1.6.1. Fix usage rule
b065b71a02c4079072b2542ced730777dfaadab0,JoaoFelipe,Dependency rules
c3f7ea289c6f4cda2959416e93f06fb4c89a950c,JoaoFelipe,Version 1.6.0. Fix prolog and dataflow. Append is not a read mode
7bcca9037ecb6ec39f99d2e51cafb6167518d30c,JoaoFelipe,"#107: add command now schema, and magic now_schema. Both have options to present the schema textually or to export to dot in a graph form."
c0934d9142bf203e77fd312e61924393221447a1,JoaoFelipe,#103: use atoms to represent strings
2e2d15a09ec138fedc35aac77e2fe87b71dedcb4,JoaoFelipe,#103: Add descriptions to all rules. Change underscores to CamelCase
b6f5279abf1dbbc5071dcfeefa8f1d8d7b2cbcdb,JoaoFelipe,#103: Use CamelCase for variable descriptions
3cb4a0ded2600176194c59d33165d1780aa0e27e,JoaoFelipe,Version 1.5.2. Fix prolog export types
5d882430c74968ab29bc2c06e3e69848a8b4b07e,JoaoFelipe,Version 1.5.1. Fix bug on dataflow graph with yield
586955aa6cf495f2e8d1989bfcd97c0be4a2f377,JoaoFelipe,Version 1.5.0
439c53c5877f214d300124ddadcc4c853642e710,JoaoFelipe,"#102: export modules, environment attributes,  objects, object values, and tags"
4d73128cafc8804cf6c4ad39f1524951ca822aa5,JoaoFelipe,#101: Collect docstring; improve trial export; export function definitions
19c996f384c5e9e0e67a77d3faea4f6d0bebb95e,JoaoFelipe,Version 1.4.6. Remove -b option from export; Fix usage_or_assign rule; Fix unhashable UniqueFileAccess
5b9885526f415f34c5962b99d408b48b236d56f0,JoaoFelipe,"Version 1.4.5. Show file accesses outside clusters, configure name length, add option to hide access to external files, and fix dependency representations to arg variables."
a5772978d5f7ab7d6bae1426290ad70f22feaf92,JoaoFelipe,Version 1.4.4. Add option to combine file accesses
e07a588522b8e4eb6299885aed0e81cfd9bce681,JoaoFelipe,Fix arrows for repeated files
bc14f4fa43a90810570df18081090c561b3edf3e,JoaoFelipe,Fix exception on slicing
6e831c74398d105cda7b48131150fbbd3f79c3c6,JoaoFelipe,Fix performance issues with now list and now history
ad08a73c77f055b7e57f9b03c95415eb374dde35,JoaoFelipe,"Version 1.4.3. Fix slicing, restore and ipython bugs"
272b037904d83c1d4f90c7f489e2c18a0ae4936d,JoaoFelipe,Version 1.4.2
f6842cad62db3dba17bce42c68683d8051059cce,JoaoFelipe,Fix prospective graph
bb2cead746a869f171027edf372947be425cd9f3,JoaoFelipe,Version 1.4.1
59ad052168190238315f8e3508c61a79a652a5d1,JoaoFelipe,Help messages
f8b53d363e6e9e88bbe2a63f1942380304a7f14c,JoaoFelipe,Happy Numbers Experiment
577260b6d67a7f02276528d21278f8ddb2755b0d,JoaoFelipe,Version 1.4.0
ab86806853516757a741cfb6ee9c07a0815f7401,JoaoFelipe,Fix rank on prospective graphs. Add dependency graph
6292cea80e6c0fd7ce87b9ebf90a2b01c1fbaa07,JoaoFelipe,#96: hide internal use
76e06689db9bfa230a7624c9469236afc3a5e5ea,JoaoFelipe,#95: prospective dataflow graph
a1b8367254acaf3efcc4e522092114e339a1f30c,JoaoFelipe,"#95: dataflow command configuration, show file accesses, show values"
68714f3c2b1814320443a6601397f3190a1f6a54,JoaoFelipe,"#95: dataflow command, fix speed issues, fix collection"
9efe4cc5e28f9e8312bb9a2994570f617cdfa811,JoaoFelipe,#87: restore a single file
1cf3879c677173d8a689a5fd2fc79c972846fe7c,JoaoFelipe,#88: remake restore operation to include all accessed files and to create backup trials when any of them changes
76146c753e42b1182fe674354325577e7c5d7803,JoaoFelipe,Option to select steps on demo run
96063006608a603e335ef9ca1e920a40ddb2108b,JoaoFelipe,Version 1.2.0
291880aba345a88ae2a0fb4663ea49e85e7e86c2,JoaoFelipe,#89: use the script name instead of <main> on diff if both scripts have the same name
672b8f4c1aa7a6065155814ddb0c1c86301b463b,JoaoFelipe,#89: rename _handle_fromlist to import name
4d7c2e78cbf49d4436e469ae62c786cd883a3e75,JoaoFelipe,#92: Alias for Tracer command
ba5241533ceeb6e9738548bffd3ee6077145f416,JoaoFelipe,#94: fix while loops and return conditions
8852e7f7a99976d11b0d6f942112804b54643552,JoaoFelipe,Prepare rank
747d8aeef87db1566a0ac2c8994cd513e127936d,JoaoFelipe,#94: fix for loops
1bd20c1223559ab9c19c984c9659046a797f83c4,JoaoFelipe,#93: summarize dependency graph
e4907c5790fd971fd43dc81ff5a21d603ecfc992,JoaoFelipe,fix #91 #90: rename slicing tables and store variable and dependency types
5a361c499680ee2c32ed8960c2d10e32fa074580,JoaoFelipe,Setup classifiers
4c345050e1358a571696aca051d7cabeee97c77f,JoaoFelipe,Prolog rules
