author,total,Start of the Week,Deletions,Additions,Commits
benmarwick,1,2013-08-31 21:00:00,0,0,0
benmarwick,1,2013-09-07 21:00:00,0,0,0
benmarwick,1,2013-09-14 21:00:00,0,0,0
benmarwick,1,2013-09-21 21:00:00,0,0,0
benmarwick,1,2013-09-28 21:00:00,0,0,0
benmarwick,1,2013-10-05 21:00:00,0,0,0
benmarwick,1,2013-10-12 21:00:00,0,0,0
benmarwick,1,2013-10-19 21:00:00,0,0,0
benmarwick,1,2013-10-26 22:00:00,0,0,0
benmarwick,1,2013-11-02 22:00:00,0,0,0
benmarwick,1,2013-11-09 22:00:00,0,0,0
benmarwick,1,2013-11-16 22:00:00,0,0,0
benmarwick,1,2013-11-23 22:00:00,0,0,0
benmarwick,1,2013-11-30 22:00:00,0,0,0
benmarwick,1,2013-12-07 22:00:00,0,0,0
benmarwick,1,2013-12-14 22:00:00,0,0,0
benmarwick,1,2013-12-21 22:00:00,0,0,0
benmarwick,1,2013-12-28 22:00:00,0,0,0
benmarwick,1,2014-01-04 22:00:00,0,0,0
benmarwick,1,2014-01-11 22:00:00,0,0,0
benmarwick,1,2014-01-18 22:00:00,0,0,0
benmarwick,1,2014-01-25 22:00:00,0,0,0
benmarwick,1,2014-02-01 22:00:00,0,0,0
benmarwick,1,2014-02-08 22:00:00,0,0,0
benmarwick,1,2014-02-15 22:00:00,0,0,0
benmarwick,1,2014-02-22 21:00:00,0,0,0
benmarwick,1,2014-03-01 21:00:00,0,0,0
benmarwick,1,2014-03-08 21:00:00,0,0,0
benmarwick,1,2014-03-15 21:00:00,0,0,0
benmarwick,1,2014-03-22 21:00:00,0,0,0
benmarwick,1,2014-03-29 21:00:00,0,0,0
benmarwick,1,2014-04-05 21:00:00,0,0,0
benmarwick,1,2014-04-12 21:00:00,0,0,0
benmarwick,1,2014-04-19 21:00:00,0,0,0
benmarwick,1,2014-04-26 21:00:00,0,0,0
benmarwick,1,2014-05-03 21:00:00,1,1,1
benmarwick,1,2014-05-10 21:00:00,0,0,0
