id,Title,Body,State,Created At,Updated At,Labels,User
100,Add option show only data or functions in dataflow command,,open,2016-02-29T16:46:24Z,2016-03-01T04:37:11Z,enhancement,JoaoFelipe
99,Pack the content DB,"We are currently using a basic mechanism for storing content of files, as described here (http://schacon.github.io/gitbook/7_how_git_stores_objects.html). This is nice because we do not duplicate content in the database, but after any small change in the file the entire new content is stored. An alternative is to adopt some strategy to pack the content, like this (http://schacon.github.io/gitbook/7_the_packfile.html).",open,2016-02-28T22:04:52Z,2016-02-29T14:34:37Z,enhancement,leomurta
98,Combine Augmented Assign nodes,"Example:
```python
x = f1()
x += 1
f2(x)
```
Currently results in 
![output](https://cloud.githubusercontent.com/assets/327789/13380248/faa57012-de1c-11e5-8e92-d5c5cb72a2cb.png)

We should have a option to combine both ""x"" nodes

",open,2016-02-28T16:13:43Z,2016-02-28T16:13:43Z,enhancement,JoaoFelipe
97,Add option to combine variables and file accesses in dataflow,,open,2016-02-28T05:37:48Z,2016-02-28T16:11:01Z,enhancement,JoaoFelipe
96,"Hide ""internal use"" functions in dataflow graph","According to PEP 8, ""internal use"" functions can be identified by leading underscores:
",open,2016-02-28T05:36:01Z,2016-02-28T05:36:49Z,enhancement,JoaoFelipe
95,Prospective dataflow graph,,open,2016-02-26T20:09:43Z,2016-02-26T20:09:43Z,enhancement,JoaoFelipe
94,Collection of loop and conditional dependencies,"Two bugs:
1- Updates to variable names create wrong dependencies:

```python
condition = True
while condition:
    condition = False
    var = 2
```
In this case, noWorkflow creates a conditional dependency for ""var"" to ""condition"" defined in line 3.
The same thing occurs if we change the iterable in for loops

2- For loops create invalid ""iterator"" variables
```python
_list = [1]
for i in _list:
    pass
```
noWorkflow says that ""i"" depends on ""iterator _list"", that depends on ""_list""
It should be ""i"" depends on ""_list""
 ",closed,2016-02-26T01:49:05Z,2016-02-26T20:07:01Z,bug,JoaoFelipe
93,Hide unnecessary nodes in dependency graph,,closed,2016-02-26T01:34:20Z,2016-02-26T01:38:45Z,bug,JoaoFelipe
92,Slicing command should be called Tracker instead of Tracer,"Since we have a more complete issue for dealing with commands #54, the only purpose of this issue is a temporary rename from -e Tracer to -e Tracker

It is probably better to create an alias for -e Tracer, as it appears in the videos. ",closed,2016-02-23T13:32:46Z,2016-02-26T20:53:22Z,bug,JoaoFelipe
91,Store the dependency type,Store in the SlicingDependency their types.,closed,2016-02-22T21:00:55Z,2016-02-26T01:38:18Z,enhancement,leomurta
90,Store the variable types,Store in SlicingVariable their types. ,closed,2016-02-22T21:00:04Z,2016-02-26T01:38:34Z,enhancement,leomurta
89,Adjust node names in the graph,"Use the name of the imported script instead of _handle_fromlist.
Moreover, when the main script has the same name during diff, use the script name instead of <main>.",closed,2016-02-16T10:21:49Z,2016-02-26T21:20:01Z,bug,leomurta
88,Create backup trials only when there is change (on any file),"If there is change on any file (not only main script) since last trial and the user runs ""restore"", create a backup trial containing all the changed (and not changed) files, allowing a correct restore if necessary.",closed,2016-02-16T09:56:41Z,2016-02-27T07:11:21Z,enhancement,leomurta
87,Allow restoring specific file object versions,"Allow to restore specific file object version. Users should inform which object they want to restore individually and in which moment (i.e., by indicating a timestamp or the file content hash code).",closed,2016-02-16T09:12:42Z,2016-02-28T00:09:09Z,enhancement,leomurta
86,Configure Depth for Program Slicing,Depth configuration is not working on program slicing,closed,2016-02-12T16:15:55Z,2016-02-26T20:07:31Z,bug,JoaoFelipe
85,Export .dot files with variable dependency,,closed,2016-02-11T02:45:58Z,2016-02-11T07:21:06Z,enhancement,JoaoFelipe
84,Reimplement Program Slicing,"The current approach is really hard to maintain. It requires to capture definition provenance from ast and bytecode and match it to tracing events during execution. 
However Python does not create tracing events for everything on the bytecode. Sometimes it is even a bit inconsistent:
- the CALL_FUNCTION opcode does not generate a 'call' event for builtins functions, such as 'int', 'float', but it generates 'call' event for other builtins and user defined calls: ""min"", ""sorted""...
- some opcodes generate 'call' events only on Python 2, while others generate 'call' events only on Python 3.

We could reimplement it by tracing only the bytecode, since it contains enough information connect to the source code: the bytecode preserves all names and lines.
There is an old hack to support bytecode tracing on Python: http://nedbatchelder.com/blog/200804/wicked_hack_python_bytecode_tracing.html


",open,2016-02-06T07:54:44Z,2016-02-25T03:34:09Z,enhancement,JoaoFelipe
83,Visualizing file content,"We currently store the content of all files created and modified during a trial. It would be nice to allow users to click in one function and see all created and modified files. Moreover, in the case of the modified files, we could run a diff against its previous version and show the change itself.

Basically, the idea is similar to what SourceTree does: different panels, one with the list of files and the other with the diff content of the file, but instead of having commits we would have functions to navigate. ",open,2016-02-05T20:35:41Z,2016-02-05T20:35:41Z,enhancement,leomurta
