id,Title,Body,Created At,Updated At
100,Add option show only data or functions in dataflow command,,2016-02-29T16:46:24Z,2016-03-01T04:37:11Z
99,Pack the content DB,"We are currently using a basic mechanism for storing content of files, as described here (http://schacon.github.io/gitbook/7_how_git_stores_objects.html). This is nice because we do not duplicate content in the database, but after any small change in the file the entire new content is stored. An alternative is to adopt some strategy to pack the content, like this (http://schacon.github.io/gitbook/7_the_packfile.html).",2016-02-28T22:04:52Z,2016-02-29T14:34:37Z
98,Combine Augmented Assign nodes,"Example:
```python
x = f1()
x += 1
f2(x)
```
Currently results in 
![output](https://cloud.githubusercontent.com/assets/327789/13380248/faa57012-de1c-11e5-8e92-d5c5cb72a2cb.png)

We should have a option to combine both ""x"" nodes

",2016-02-28T16:13:43Z,2016-02-28T16:13:43Z
97,Add option to combine variables and file accesses in dataflow,,2016-02-28T05:37:48Z,2016-02-28T16:11:01Z
96,"Hide ""internal use"" functions in dataflow graph","According to PEP 8, ""internal use"" functions can be identified by leading underscores:
",2016-02-28T05:36:01Z,2016-02-28T05:36:49Z
95,Prospective dataflow graph,,2016-02-26T20:09:43Z,2016-02-26T20:09:43Z
84,Reimplement Program Slicing,"The current approach is really hard to maintain. It requires to capture definition provenance from ast and bytecode and match it to tracing events during execution. 
However Python does not create tracing events for everything on the bytecode. Sometimes it is even a bit inconsistent:
- the CALL_FUNCTION opcode does not generate a 'call' event for builtins functions, such as 'int', 'float', but it generates 'call' event for other builtins and user defined calls: ""min"", ""sorted""...
- some opcodes generate 'call' events only on Python 2, while others generate 'call' events only on Python 3.

We could reimplement it by tracing only the bytecode, since it contains enough information connect to the source code: the bytecode preserves all names and lines.
There is an old hack to support bytecode tracing on Python: http://nedbatchelder.com/blog/200804/wicked_hack_python_bytecode_tracing.html


",2016-02-06T07:54:44Z,2016-02-25T03:34:09Z
83,Visualizing file content,"We currently store the content of all files created and modified during a trial. It would be nice to allow users to click in one function and see all created and modified files. Moreover, in the case of the modified files, we could run a diff against its previous version and show the change itself.

Basically, the idea is similar to what SourceTree does: different panels, one with the list of files and the other with the diff content of the file, but instead of having commits we would have functions to navigate. ",2016-02-05T20:35:41Z,2016-02-05T20:35:41Z
77,Collect exceptions,"Exceptions should be registered and associated with the activations that raised them and activations that catched them. 
We could use them to create extra edges on the activation graph",2016-02-01T20:36:43Z,2016-02-01T20:36:43Z
76,Collect processor load,"From time to time, we could collect processor load",2016-02-01T20:33:39Z,2016-02-01T20:33:39Z
75,Support Unpack Generalizations on slicing,"Python 3.5 genarilized unpacking to support more than one on function calls:
```python
def f(i, j, k, l, **kwargs):
    pass
a = [1, 2]
b = [3, 4]
c = {'x': 5}
d = {'y': 6}

f(*a, *b, **c, **d)
```
We should create dependencies:
i -> a
j -> a
k -> b
l -> b
kwargs -> c, d
",2016-02-01T20:31:13Z,2016-02-01T20:31:13Z
